voice,type,reference,hypothesis,count
en_US-amy-medium,substitution,a,the,96
en_US-amy-medium,substitution,ten,10,26
en_US-amy-medium,substitution,half,halfway,15
en_US-amy-medium,substitution,busses,buses,15
en_US-amy-medium,substitution,beat,beats,15
en_US-amy-medium,substitution,thirty,30,15
en_US-amy-medium,substitution,tree,treetop,15
en_US-amy-medium,substitution,thumb,thumbtacks,15
en_US-amy-medium,substitution,wading,waiting,15
en_US-amy-medium,substitution,hotcross,cross,15
en_US-amy-medium,substitution,bound,boned,15
en_US-amy-medium,substitution,junk,junkyard,15
en_US-amy-medium,substitution,mouldy,moldy,15
en_US-amy-medium,substitution,colored,colorful,15
en_US-amy-medium,substitution,vane,vein,15
en_US-amy-medium,substitution,twelfth,12th,15
en_US-amy-medium,substitution,hard,hardworking,15
en_US-amy-medium,substitution,fifty,50,14
en_US-amy-medium,substitution,the,this,14
en_US-amy-medium,substitution,side,sideshow,14
en_US-amy-medium,deletion,the,,35
en_US-amy-medium,deletion,top,,29
en_US-amy-medium,deletion,show,,15
en_US-amy-medium,deletion,way,,15
en_US-amy-medium,deletion,stain,,15
en_US-amy-medium,deletion,dried,,15
en_US-amy-medium,deletion,on,,15
en_US-amy-medium,deletion,finished,,15
en_US-amy-medium,deletion,page,,15
en_US-amy-medium,deletion,tacks,,15
en_US-amy-medium,deletion,yard,,15
en_US-amy-medium,deletion,a,,15
en_US-amy-medium,deletion,working,,15
en_US-amy-medium,deletion,hot,,14
en_US-amy-medium,deletion,oiled,,13
en_US-amy-medium,deletion,drifts,,13
en_US-amy-medium,deletion,story,,13
en_US-amy-medium,deletion,bred,,12
en_US-amy-medium,deletion,shaped,,10
en_US-amy-medium,deletion,hand,,9
en_US-amy-medium,insertion,,the,23
en_US-amy-medium,insertion,,a,18
en_US-amy-medium,insertion,,rose,15
en_US-amy-medium,insertion,,hot,15
en_US-amy-medium,insertion,,i,5
en_US-amy-medium,insertion,,to,5
en_US-amy-medium,insertion,,in,3
en_US-amy-medium,insertion,,ball,3
en_US-amy-medium,insertion,,and,3
en_US-amy-medium,insertion,,let,2
en_US-amy-medium,insertion,,lets,2
en_US-amy-medium,insertion,,this,2
en_US-amy-medium,insertion,,pray,2
en_US-amy-medium,insertion,,big,1
en_US-amy-medium,insertion,,door,1
en_US-amy-medium,insertion,,pills,1
en_US-amy-medium,insertion,,type,1
en_US-amy-medium,insertion,,new,1
en_US-amy-medium,insertion,,room,1
en_US-amy-medium,insertion,,so,1
