voice,type,reference,hypothesis,count
en_US-lessac-medium,substitution,the,a,98
en_US-lessac-medium,substitution,a,the,92
en_US-lessac-medium,substitution,ten,10,43
en_US-lessac-medium,substitution,thirty,30,28
en_US-lessac-medium,substitution,we,wed,16
en_US-lessac-medium,substitution,this,the,16
en_US-lessac-medium,substitution,fifty,50,15
en_US-lessac-medium,substitution,half,halfway,15
en_US-lessac-medium,substitution,busses,buses,15
en_US-lessac-medium,substitution,sixteen,16,15
en_US-lessac-medium,substitution,beat,beats,15
en_US-lessac-medium,substitution,lame,lane,15
en_US-lessac-medium,substitution,tree,treetop,15
en_US-lessac-medium,substitution,wood,what,15
en_US-lessac-medium,substitution,apple,appleshaped,15
en_US-lessac-medium,substitution,at,it,15
en_US-lessac-medium,substitution,junk,junkyard,15
en_US-lessac-medium,substitution,mouldy,moldy,15
en_US-lessac-medium,substitution,slide,applied,15
en_US-lessac-medium,substitution,thaw,fall,15
en_US-lessac-medium,deletion,the,,69
en_US-lessac-medium,deletion,a,,33
en_US-lessac-medium,deletion,way,,15
en_US-lessac-medium,deletion,shaped,,15
en_US-lessac-medium,deletion,yard,,15
en_US-lessac-medium,deletion,in,,14
en_US-lessac-medium,deletion,drifts,,14
en_US-lessac-medium,deletion,tacks,,14
en_US-lessac-medium,deletion,some,,14
en_US-lessac-medium,deletion,oiled,,13
en_US-lessac-medium,deletion,story,,13
en_US-lessac-medium,deletion,store,,12
en_US-lessac-medium,deletion,top,,12
en_US-lessac-medium,deletion,and,,8
en_US-lessac-medium,deletion,ink,,7
en_US-lessac-medium,deletion,tongs,,7
en_US-lessac-medium,deletion,evade,,7
en_US-lessac-medium,deletion,is,,6
en_US-lessac-medium,deletion,dime,,6
en_US-lessac-medium,deletion,hot,,5
en_US-lessac-medium,insertion,,the,87
en_US-lessac-medium,insertion,,i,56
en_US-lessac-medium,insertion,,ill,15
en_US-lessac-medium,insertion,,rose,14
en_US-lessac-medium,insertion,,and,14
en_US-lessac-medium,insertion,,hot,10
en_US-lessac-medium,insertion,,to,8
en_US-lessac-medium,insertion,,a,8
en_US-lessac-medium,insertion,,of,7
en_US-lessac-medium,insertion,,for,7
en_US-lessac-medium,insertion,,you,6
en_US-lessac-medium,insertion,,thee,6
en_US-lessac-medium,insertion,,im,5
en_US-lessac-medium,insertion,,bar,4
en_US-lessac-medium,insertion,,this,4
en_US-lessac-medium,insertion,,as,3
en_US-lessac-medium,insertion,,he,3
en_US-lessac-medium,insertion,,it,3
en_US-lessac-medium,insertion,,ive,3
en_US-lessac-medium,insertion,,his,3
